No,A,B,S,C,HP,Win,Frame
1418,8,5,5,6,60,1,540
1422,8,5,5,9,53,0,0
1423,8,5,5,9,54,0,0
1425,8,5,5,9,56,0,0
1424,8,5,5,9,55,0,0
1432,8,5,5,11,52,1,375
1429,8,5,5,9,60,1,454
1427,8,5,5,9,58,0,0
1428,8,5,5,9,59,0,0
1433,8,5,5,11,53,0,0
1435,8,5,5,11,55,1,427
1426,8,5,5,9,57,1,821
1430,8,5,5,11,50,0,0
1434,8,5,5,11,54,0,0
1431,8,5,5,11,51,0,0
1437,8,5,5,11,57,1,460
1436,8,5,5,11,56,2,1055
1438,8,5,5,11,58,1,512
1442,8,5,5,14,51,0,0
1440,8,5,5,11,60,1,556
1441,8,5,5,14,50,1,525
1444,8,5,5,14,53,0,0
1439,8,5,5,11,59,1,762
1445,8,5,5,14,54,2,958
1443,8,5,5,14,52,0,0
1446,8,5,5,14,55,0,0
1449,8,5,5,14,58,0,0
1447,8,5,5,14,56,0,0
1448,8,5,5,14,57,1,547
1451,8,5,5,14,60,1,500
1366,8,3,5,6,52,0,0
1452,8,8,5,6,50,1,474
1453,8,8,5,6,51,0,0
1450,8,5,5,14,59,0,0
1457,8,8,5,6,55,1,407
1456,8,8,5,6,54,0,0
1459,8,8,5,6,57,0,0
1455,8,8,5,6,53,1,521
1454,8,8,5,6,52,0,0
1458,8,8,5,6,56,2,1039
1460,8,8,5,6,58,1,506
1462,8,8,5,6,60,0,0
1461,8,8,5,6,59,1,462
1463,8,8,5,9,50,0,0
1464,8,8,5,9,51,1,464
1466,8,8,5,9,53,1,482
1469,8,8,5,9,56,1,414
1467,8,8,5,9,54,0,0
1465,8,8,5,9,52,1,552
1468,8,8,5,9,55,0,0
1474,8,8,5,11,50,0,0
1470,8,8,5,9,57,0,0
1471,8,8,5,9,58,1,550
1472,8,8,5,9,59,1,460
1483,8,8,5,11,59,0,0
1476,8,8,5,11,52,0,0
1475,8,8,5,11,51,0,0
1479,8,8,5,11,55,0,0
1481,8,8,5,11,57,1,460
1477,8,8,5,11,53,0,0
1478,8,8,5,11,54,2,1063
1480,8,8,5,11,56,1,680
1482,8,8,5,11,58,0,0
1486,8,8,5,14,51,0,0
1485,8,8,5,14,50,0,0
1487,8,8,5,14,52,0,0
1484,8,8,5,11,60,0,0
1488,8,8,5,14,53,0,0
1473,8,8,5,9,60,2,1902
1490,8,8,5,14,55,1,492
1489,8,8,5,14,54,1,529
1496,8,11,5,6,50,1,468
1492,8,8,5,14,57,0,0
1495,8,8,5,14,60,0,0
1494,8,8,5,14,59,2,1050
1491,8,8,5,14,56,1,451
1497,8,11,5,6,51,0,0
1500,8,11,5,6,54,0,0
1493,8,8,5,14,58,0,0
1502,8,11,5,6,56,1,394
1498,8,11,5,6,52,2,1299
1501,8,11,5,6,55,2,1103
1499,8,11,5,6,53,0,0
1503,8,11,5,6,57,1,454
1504,8,11,5,6,58,1,469
1505,8,11,5,6,59,2,913
1508,8,11,5,9,51,1,438
1512,8,11,5,9,55,1,365
1507,8,11,5,9,50,0,0
1511,8,11,5,9,54,2,826
1509,8,11,5,9,52,0,0
1510,8,11,5,9,53,1,428
1506,8,11,5,6,60,1,634
1513,8,11,5,9,56,1,467
1514,8,11,5,9,57,2,933
1515,8,11,5,9,58,1,551
1516,8,11,5,9,59,2,895
1518,8,11,5,11,50,0,0
1517,8,11,5,9,60,0,0
1519,8,11,5,11,51,2,983
1520,8,11,5,11,52,1,443
1522,8,11,5,11,54,1,367
1523,8,11,5,11,55,0,0
1526,8,11,5,11,58,1,454
1525,8,11,5,11,57,1,476
1527,8,11,5,11,59,1,425
1524,8,11,5,11,56,1,527
1528,8,11,5,11,60,2,1005
1529,8,11,5,14,50,0,0
1521,8,11,5,11,53,1,1011
1530,8,11,5,14,51,2,1105
1531,8,11,5,14,52,1,498
1533,8,11,5,14,54,1,443
1532,8,11,5,14,53,2,1137
1536,8,11,5,14,57,2,844
1534,8,11,5,14,55,1,459
1535,8,11,5,14,56,0,0
1538,8,11,5,14,59,0,0
1537,8,11,5,14,58,1,483
1540,8,13,5,6,50,1,443
1541,8,13,5,6,51,1,396
1539,8,11,5,14,60,2,886
1544,8,13,5,6,54,1,502
1546,8,13,5,6,56,1,424
1542,8,13,5,6,52,1,561
1545,8,13,5,6,55,1,493
1543,8,13,5,6,53,2,1309
1547,8,13,5,6,57,1,710
1551,8,13,5,9,50,1,388
1548,8,13,5,6,58,1,624
1550,8,13,5,6,60,2,900
1554,8,13,5,9,53,1,422
1549,8,13,5,6,59,0,0
1552,8,13,5,9,51,1,456
1556,8,13,5,9,55,1,466
1553,8,13,5,9,52,0,0
1557,8,13,5,9,56,2,1026
1558,8,13,5,9,57,2,1002
1555,8,13,5,9,54,0,0
1559,8,13,5,9,58,0,0
1562,8,13,5,11,50,1,480
1561,8,13,5,9,60,2,1027
1564,8,13,5,11,52,1,381
1565,8,13,5,11,53,1,395
1567,8,13,5,11,55,0,0
1563,8,13,5,11,51,1,659
1560,8,13,5,9,59,1,729
1566,8,13,5,11,54,0,0
1568,8,13,5,11,56,1,494
1569,8,13,5,11,57,1,462
1570,8,13,5,11,58,1,450
1571,8,13,5,11,59,1,517
1573,8,13,5,14,50,1,463
1572,8,13,5,11,60,1,434
1574,8,13,5,14,51,2,1064
1575,8,13,5,14,52,0,0
1577,8,13,5,14,54,0,0
1578,8,13,5,14,55,1,510
1580,8,13,5,14,57,0,0
1579,8,13,5,14,56,0,0
1576,8,13,5,14,53,1,606
1583,8,13,5,14,60,2,1032
1582,8,13,5,14,59,0,0
1584,11,0,5,6,50,1,519
1581,8,13,5,14,58,1,466
1585,11,0,5,6,51,1,499
1586,11,0,5,6,52,2,994
1587,11,0,5,6,53,0,0
1588,11,0,5,6,54,0,0
1590,11,0,5,6,56,1,454
1589,11,0,5,6,55,0,0
1593,11,0,5,6,59,1,434
1592,11,0,5,6,58,1,438
1594,11,0,5,6,60,0,0
1595,11,0,5,9,50,0,0
1591,11,0,5,6,57,0,0
1596,11,0,5,9,51,1,440
1599,11,0,5,9,54,0,0
1600,11,0,5,9,55,0,0
1597,11,0,5,9,52,1,379
1598,11,0,5,9,53,0,0
1602,11,0,5,9,57,1,430
1607,11,0,5,11,51,0,0
1603,11,0,5,9,58,1,497
1605,11,0,5,9,60,0,0
1601,11,0,5,9,56,1,654
1604,11,0,5,9,59,0,0
1606,11,0,5,11,50,0,0
1611,11,0,5,11,55,2,868
1612,11,0,5,11,56,1,357
1610,11,0,5,11,54,2,907
1609,11,0,5,11,53,1,430
1608,11,0,5,11,52,0,0
1613,11,0,5,11,57,2,922
1615,11,0,5,11,59,1,443
1614,11,0,5,11,58,2,1079
1616,11,0,5,11,60,2,970
1620,11,0,5,14,53,0,0
1619,11,0,5,14,52,0,0
1622,11,0,5,14,55,0,0
1617,11,0,5,14,50,0,0
1618,11,0,5,14,51,0,0
1621,11,0,5,14,54,1,523
1623,11,0,5,14,56,0,0
1624,11,0,5,14,57,0,0
1626,11,0,5,14,59,1,372
1628,11,3,5,6,50,0,0
1625,11,0,5,14,58,0,0
1627,11,0,5,14,60,1,545
1629,11,3,5,6,51,1,575
1630,11,3,5,6,52,0,0
1631,11,3,5,6,53,0,0
1634,11,3,5,6,56,0,0
1635,11,3,5,6,57,0,0
1633,11,3,5,6,55,0,0
1632,11,3,5,6,54,1,705
1638,11,3,5,6,60,0,0
1639,11,3,5,9,50,1,425
1640,11,3,5,9,51,0,0
1643,11,3,5,9,54,0,0
1641,11,3,5,9,52,1,453
1642,11,3,5,9,53,0,0
1636,11,3,5,6,58,0,0
1646,11,3,5,9,57,1,402
1644,11,3,5,9,55,0,0
1647,11,3,5,9,58,2,828
1645,11,3,5,9,56,0,0
1648,11,3,5,9,59,1,445
1651,11,3,5,11,51,0,0
1650,11,3,5,11,50,1,458
1652,11,3,5,11,52,1,446
1649,11,3,5,9,60,1,491
1653,11,3,5,11,53,1,459
1654,11,3,5,11,54,0,0
1655,11,3,5,11,55,0,0
1656,11,3,5,11,56,1,455
1657,11,3,5,11,57,0,0
1663,11,3,5,14,52,0,0
1658,11,3,5,11,58,2,902
1661,11,3,5,14,50,0,0
1660,11,3,5,11,60,0,0
1667,11,3,5,14,56,1,441
1662,11,3,5,14,51,1,389
1664,11,3,5,14,53,0,0
1665,11,3,5,14,54,1,438
1659,11,3,5,11,59,0,0
1666,11,3,5,14,55,0,0
1669,11,3,5,14,58,1,423
1668,11,3,5,14,57,1,438
1670,11,3,5,14,59,0,0
1671,11,3,5,14,60,1,489
1672,11,5,5,6,50,1,383
1673,11,5,5,6,51,1,465
1674,11,5,5,6,52,0,0
1675,11,5,5,6,53,1,429
1676,11,5,5,6,54,1,385
1679,11,5,5,6,57,0,0
1677,11,5,5,6,55,0,0
1681,11,5,5,6,59,0,0
1680,11,5,5,6,58,2,860
1682,11,5,5,6,60,0,0
1678,11,5,5,6,56,0,0
1683,11,5,5,9,50,1,424
1685,11,5,5,9,52,0,0
1684,11,5,5,9,51,0,0
1686,11,5,5,9,53,1,469
1687,11,5,5,9,54,1,373
1690,11,5,5,9,57,0,0
1695,11,5,5,11,51,0,0
1688,11,5,5,9,55,1,596
1691,11,5,5,9,58,1,437
1697,11,5,5,11,53,1,462
1694,11,5,5,11,50,1,441
1692,11,5,5,9,59,0,0
1693,11,5,5,9,60,1,523
1689,11,5,5,9,56,1,456
1696,11,5,5,11,52,1,485
1698,11,5,5,11,54,1,479
1701,11,5,5,11,57,0,0
1700,11,5,5,11,56,0,0
1702,11,5,5,11,58,1,424
1699,11,5,5,11,55,0,0
1706,11,5,5,14,51,0,0
1707,11,5,5,14,52,0,0
1703,11,5,5,11,59,1,655
1709,11,5,5,14,54,1,397
1704,11,5,5,11,60,1,512
1708,11,5,5,14,53,0,0
1711,11,5,5,14,56,1,408
1710,11,5,5,14,55,1,543
1705,11,5,5,14,50,1,775
1712,11,5,5,14,57,1,663
1713,11,5,5,14,58,1,456
1716,11,8,5,6,50,0,0
1715,11,5,5,14,60,1,619
1717,11,8,5,6,51,0,0
1714,11,5,5,14,59,1,603
1718,11,8,5,6,52,1,435
1719,11,8,5,6,53,0,0
1722,11,8,5,6,56,2,855
1637,11,3,5,6,59,1,561
1721,11,8,5,6,55,0,0
1723,11,8,5,6,57,0,0
1720,11,8,5,6,54,1,449
1725,11,8,5,6,59,2,901
1724,11,8,5,6,58,0,0
1727,11,8,5,9,50,0,0
1726,11,8,5,6,60,2,923
1728,11,8,5,9,51,1,527
1730,11,8,5,9,53,0,0
1734,11,8,5,9,57,0,0
1729,11,8,5,9,52,1,571
1731,11,8,5,9,54,1,551
1733,11,8,5,9,56,0,0
1732,11,8,5,9,55,2,1047
1736,11,8,5,9,59,1,478
1738,11,8,5,11,50,0,0
1737,11,8,5,9,60,1,455
1735,11,8,5,9,58,2,1037
1742,11,8,5,11,54,1,563
1743,11,8,5,11,55,2,837
1740,11,8,5,11,52,0,0
1741,11,8,5,11,53,0,0
1744,11,8,5,11,56,0,0
1739,11,8,5,11,51,1,778
1749,11,8,5,14,50,0,0
1745,11,8,5,11,57,0,0
1748,11,8,5,11,60,0,0
1752,11,8,5,14,53,0,0
1750,11,8,5,14,51,0,0
1751,11,8,5,14,52,0,0
1753,11,8,5,14,54,0,0
1746,11,8,5,11,58,1,381
1754,11,8,5,14,55,0,0
1747,11,8,5,11,59,1,464
1758,11,8,5,14,59,0,0
1755,11,8,5,14,56,0,0
1759,11,8,5,14,60,1,415
1760,11,11,5,6,50,1,408
1757,11,8,5,14,58,1,613
1756,11,8,5,14,57,2,1206
1764,11,11,5,6,54,0,0
1762,11,11,5,6,52,0,0
1763,11,11,5,6,53,0,0
1761,11,11,5,6,51,0,0
1766,11,11,5,6,56,0,0
1769,11,11,5,6,59,1,419
1771,11,11,5,9,50,0,0
1770,11,11,5,6,60,2,974
1767,11,11,5,6,57,2,1022
1768,11,11,5,6,58,1,487
1765,11,11,5,6,55,0,0
1772,11,11,5,9,51,0,0
1774,11,11,5,9,53,0,0
1773,11,11,5,9,52,0,0
1775,11,11,5,9,54,0,0
1776,11,11,5,9,55,1,534
1777,11,11,5,9,56,1,430
1778,11,11,5,9,57,1,443
1779,11,11,5,9,58,2,925
1780,11,11,5,9,59,2,1031
1784,11,11,5,11,52,1,416
1783,11,11,5,11,51,0,0
1786,11,11,5,11,54,1,426
1785,11,11,5,11,53,0,0
1787,11,11,5,11,55,0,0
1782,11,11,5,11,50,0,0
1781,11,11,5,9,60,1,489
1789,11,11,5,11,57,1,545
1788,11,11,5,11,56,1,522
1790,11,11,5,11,58,0,0
1792,11,11,5,11,60,2,823
1791,11,11,5,11,59,2,919
1795,11,11,5,14,52,0,0
1794,11,11,5,14,51,0,0
1793,11,11,5,14,50,0,0
1803,11,11,5,14,60,0,0
1797,11,11,5,14,54,0,0
1800,11,11,5,14,57,1,420
1796,11,11,5,14,53,1,505
1799,11,11,5,14,56,1,446
1802,11,11,5,14,59,0,0
1805,11,13,5,6,51,2,845
1798,11,11,5,14,55,1,524
1807,11,13,5,6,53,0,0
1804,11,13,5,6,50,1,475
1801,11,11,5,14,58,1,449
1806,11,13,5,6,52,0,0
1808,11,13,5,6,54,1,536
1811,11,13,5,6,57,2,816
1810,11,13,5,6,56,1,461
1809,11,13,5,6,55,0,0
1812,11,13,5,6,58,2,927
1813,11,13,5,6,59,2,901
1819,11,13,5,9,54,1,440
1818,11,13,5,9,53,0,0
1824,11,13,5,9,59,1,419
1814,11,13,5,6,60,0,0
1822,11,13,5,9,57,1,432
1821,11,13,5,9,56,0,0
1816,11,13,5,9,51,1,668
1820,11,13,5,9,55,2,1076
1817,11,13,5,9,52,1,524
1823,11,13,5,9,58,0,0
1827,11,13,5,11,51,0,0
1826,11,13,5,11,50,1,626
1825,11,13,5,9,60,2,1104
1828,11,13,5,11,52,0,0
1831,11,13,5,11,55,1,445
1830,11,13,5,11,54,1,424
1829,11,13,5,11,53,0,0
1832,11,13,5,11,56,0,0
1834,11,13,5,11,58,2,855
1833,11,13,5,11,57,2,876
1837,11,13,5,14,50,1,412
1838,11,13,5,14,51,0,0
1835,11,13,5,11,59,2,955
1840,11,13,5,14,53,0,0
1836,11,13,5,11,60,1,513
1839,11,13,5,14,52,1,581
1841,11,13,5,14,54,0,0
1842,11,13,5,14,55,0,0
1844,11,13,5,14,57,0,0
1843,11,13,5,14,56,1,475
1845,11,13,5,14,58,1,496
1846,11,13,5,14,59,1,523
1847,11,13,5,14,60,1,426
1848,13,0,5,6,50,0,0
1850,13,0,5,6,52,1,388
1851,13,0,5,6,53,0,0
1849,13,0,5,6,51,1,556
1852,13,0,5,6,54,0,0
1855,13,0,5,6,57,0,0
1854,13,0,5,6,56,0,0
1853,13,0,5,6,55,0,0
1859,13,0,5,9,50,0,0
1856,13,0,5,6,58,0,0
1857,13,0,5,6,59,1,445
1860,13,0,5,9,51,0,0
1861,13,0,5,9,52,1,384
1862,13,0,5,9,53,1,494
1858,13,0,5,6,60,2,1106
1863,13,0,5,9,54,0,0
1866,13,0,5,9,57,1,467
1864,13,0,5,9,55,1,486
1867,13,0,5,9,58,1,459
1865,13,0,5,9,56,0,0
1868,13,0,5,9,59,2,920
1870,13,0,5,11,50,0,0
1871,13,0,5,11,51,1,436
1869,13,0,5,9,60,2,1029
1872,13,0,5,11,52,0,0
1873,13,0,5,11,53,1,449
1875,13,0,5,11,55,0,0
1876,13,0,5,11,56,0,0
1874,13,0,5,11,54,2,934
1878,13,0,5,11,58,1,488
1877,13,0,5,11,57,0,0
1879,13,0,5,11,59,1,438
1881,13,0,5,14,50,0,0
1880,13,0,5,11,60,0,0
1882,13,0,5,14,51,0,0
1886,13,0,5,14,55,0,0
1883,13,0,5,14,52,1,420
1884,13,0,5,14,53,1,450
1885,13,0,5,14,54,0,0
1887,13,0,5,14,56,0,0
1890,13,0,5,14,59,1,369
1891,13,0,5,14,60,1,362
1888,13,0,5,14,57,2,935
1892,13,3,5,6,50,0,0
1889,13,0,5,14,58,0,0
1893,13,3,5,6,51,0,0
1895,13,3,5,6,53,1,451
1894,13,3,5,6,52,0,0
1896,13,3,5,6,54,0,0
1898,13,3,5,6,56,0,0
1815,11,13,5,9,50,0,0
1897,13,3,5,6,55,0,0
1902,13,3,5,6,60,0,0
1904,13,3,5,9,51,0,0
1903,13,3,5,9,50,1,392
1899,13,3,5,6,57,2,1243
1905,13,3,5,9,52,0,0
1907,13,3,5,9,54,1,550
1906,13,3,5,9,53,1,536
1901,13,3,5,6,59,1,875
1908,13,3,5,9,55,2,926
1910,13,3,5,9,57,1,398
1909,13,3,5,9,56,0,0
1911,13,3,5,9,58,0,0
1913,13,3,5,9,60,0,0
1914,13,3,5,11,50,0,0
1912,13,3,5,9,59,0,0
1917,13,3,5,11,53,0,0
1915,13,3,5,11,51,0,0
1916,13,3,5,11,52,0,0
1918,13,3,5,11,54,1,559
1924,13,3,5,11,60,0,0
1919,13,3,5,11,55,0,0
1922,13,3,5,11,58,1,410
1920,13,3,5,11,56,1,501
1921,13,3,5,11,57,1,551
1923,13,3,5,11,59,2,980
1926,13,3,5,14,51,0,0
1925,13,3,5,14,50,0,0
1927,13,3,5,14,52,1,564
1932,13,3,5,14,57,1,433
1931,13,3,5,14,56,1,417
1936,13,5,5,6,50,0,0
1929,13,3,5,14,54,2,1423
1935,13,3,5,14,60,0,0
1928,13,3,5,14,53,1,927
1934,13,3,5,14,59,2,1036
1939,13,5,5,6,53,0,0
1937,13,5,5,6,51,0,0
1938,13,5,5,6,52,1,567
1933,13,3,5,14,58,1,448
1940,13,5,5,6,54,2,940
1941,13,5,5,6,55,1,606
1942,13,5,5,6,56,0,0
1943,13,5,5,6,57,1,451
1944,13,5,5,6,58,0,0
1948,13,5,5,9,51,0,0
1947,13,5,5,9,50,1,377
1946,13,5,5,6,60,0,0
1949,13,5,5,9,52,0,0
1945,13,5,5,6,59,0,0
1951,13,5,5,9,54,1,385
1950,13,5,5,9,53,0,0
1954,13,5,5,9,57,1,421
1952,13,5,5,9,55,0,0
1953,13,5,5,9,56,0,0
1955,13,5,5,9,58,1,487
1958,13,5,5,11,50,0,0
1960,13,5,5,11,52,1,489
1956,13,5,5,9,59,0,0
1957,13,5,5,9,60,2,999
1959,13,5,5,11,51,0,0
1962,13,5,5,11,54,0,0
1963,13,5,5,11,55,1,405
1961,13,5,5,11,53,1,454
1965,13,5,5,11,57,1,444
1966,13,5,5,11,58,1,433
1964,13,5,5,11,56,1,534
1968,13,5,5,11,60,1,498
1967,13,5,5,11,59,0,0
1971,13,5,5,14,52,1,427
1969,13,5,5,14,50,1,528
1972,13,5,5,14,53,0,0
1970,13,5,5,14,51,1,492
1973,13,5,5,14,54,1,434
1975,13,5,5,14,56,1,489
1980,13,8,5,6,50,0,0
1977,13,5,5,14,58,1,476
1976,13,5,5,14,57,2,1008
1974,13,5,5,14,55,0,0
1978,13,5,5,14,59,0,0
1900,13,3,5,6,58,1,491
1979,13,5,5,14,60,0,0
1982,13,8,5,6,52,0,0
1981,13,8,5,6,51,0,0
1983,13,8,5,6,53,0,0
1986,13,8,5,6,56,1,483
1984,13,8,5,6,54,0,0
1989,13,8,5,6,59,1,377
1987,13,8,5,6,57,0,0
1988,13,8,5,6,58,1,433
1993,13,8,5,9,52,0,0
1991,13,8,5,9,50,1,378
1990,13,8,5,6,60,2,913
1992,13,8,5,9,51,1,445
1994,13,8,5,9,53,0,0
1995,13,8,5,9,54,1,506
1996,13,8,5,9,55,0,0
2002,13,8,5,11,50,0,0
1997,13,8,5,9,56,0,0
2000,13,8,5,9,59,1,455
1999,13,8,5,9,58,0,0
1998,13,8,5,9,57,0,0
2001,13,8,5,9,60,1,503
2005,13,8,5,11,53,0,0
2004,13,8,5,11,52,0,0
2003,13,8,5,11,51,0,0
2006,13,8,5,11,54,0,0
2007,13,8,5,11,55,0,0
1930,13,3,5,14,55,0,0
2008,13,8,5,11,56,1,499
2010,13,8,5,11,58,2,909
2011,13,8,5,11,59,1,470
2009,13,8,5,11,57,2,1170
2015,13,8,5,14,52,0,0
2013,13,8,5,14,50,0,0
2014,13,8,5,14,51,1,438
2012,13,8,5,11,60,2,970
2016,13,8,5,14,53,0,0
2017,13,8,5,14,54,1,646
2019,13,8,5,14,56,0,0
2018,13,8,5,14,55,1,562
2022,13,8,5,14,59,1,465
2020,13,8,5,14,57,1,506
2024,13,11,5,6,50,0,0
2021,13,8,5,14,58,1,469
2023,13,8,5,14,60,0,0
2025,13,11,5,6,51,0,0
2029,13,11,5,6,55,0,0
2026,13,11,5,6,52,0,0
2027,13,11,5,6,53,2,1023
2028,13,11,5,6,54,1,426
2031,13,11,5,6,57,1,469
2030,13,11,5,6,56,0,0
2032,13,11,5,6,58,1,367
2034,13,11,5,6,60,1,437
2033,13,11,5,6,59,1,417
2037,13,11,5,9,52,1,441
2036,13,11,5,9,51,2,930
2039,13,11,5,9,54,1,486
2038,13,11,5,9,53,0,0
2041,13,11,5,9,56,1,481
2040,13,11,5,9,55,1,369
2042,13,11,5,9,57,1,374
2043,13,11,5,9,58,2,856
2045,13,11,5,9,60,2,943
2047,13,11,5,11,51,1,427
2044,13,11,5,9,59,0,0
2051,13,11,5,11,55,0,0
2046,13,11,5,11,50,1,459
2048,13,11,5,11,52,1,448
2050,13,11,5,11,54,2,863
2049,13,11,5,11,53,2,1183
2053,13,11,5,11,57,2,954
2052,13,11,5,11,56,2,996
2055,13,11,5,11,59,1,511
2059,13,11,5,14,52,0,0
2054,13,11,5,11,58,2,876
2056,13,11,5,11,60,2,910
2062,13,11,5,14,55,0,0
2060,13,11,5,14,53,0,0
2058,13,11,5,14,51,0,0
2057,13,11,5,14,50,0,0
2063,13,11,5,14,56,0,0
2061,13,11,5,14,54,0,0
2064,13,11,5,14,57,2,862
2065,13,11,5,14,58,2,948
2067,13,11,5,14,60,0,0
1985,13,8,5,6,55,0,0
2066,13,11,5,14,59,0,0
2068,13,13,5,6,50,1,466
2069,13,13,5,6,51,2,992
2075,13,13,5,6,57,1,418
2070,13,13,5,6,52,1,671
2072,13,13,5,6,54,2,1009
2076,13,13,5,6,58,1,439
2073,13,13,5,6,55,0,0
2074,13,13,5,6,56,0,0
2078,13,13,5,6,60,0,0
2082,13,13,5,9,53,0,0
2071,13,13,5,6,53,1,614
2079,13,13,5,9,50,1,389
2077,13,13,5,6,59,1,578
2080,13,13,5,9,51,2,903
2081,13,13,5,9,52,0,0
2083,13,13,5,9,54,1,449
2084,13,13,5,9,55,0,0
2086,13,13,5,9,57,2,931
2090,13,13,5,11,50,1,495
2087,13,13,5,9,58,2,958
2085,13,13,5,9,56,0,0
2094,13,13,5,11,54,2,838
2089,13,13,5,9,60,2,1018
2091,13,13,5,11,51,1,445
2093,13,13,5,11,53,2,977
2088,13,13,5,9,59,0,0
2092,13,13,5,11,52,2,1075
2097,13,13,5,11,57,2,820
2095,13,13,5,11,55,1,463
2096,13,13,5,11,56,0,0
2104,13,13,5,14,53,1,445
2098,13,13,5,11,58,2,959
2101,13,13,5,14,50,0,0
2099,13,13,5,11,59,1,479
2102,13,13,5,14,51,1,449
2107,13,13,5,14,56,1,526
2105,13,13,5,14,54,1,467
2109,13,13,5,14,58,1,429
2103,13,13,5,14,52,0,0
2100,13,13,5,11,60,0,0
2106,13,13,5,14,55,0,0
2111,13,13,5,14,60,1,380
2108,13,13,5,14,57,1,775
2110,13,13,5,14,59,1,565
2035,13,11,5,9,50,1,541
